YearOlympic,OlympicName,OlympicCountry,OlympicCity,WinnerName,WinnerNationality,WinnerDateBirth,WinnerGender,Sport,Discipline,Medal
2008,2008 Summergames Beijing,China,Beijing,Samuel Sanchez,Spain,NULL,Man,Cycling,Road race,Gold
2008,2008 Summergames Beijing,China,Beijing,Samuel Wanjiru,Kenya,NULL,Man,Athletics,Marathon,Gold
2008,2008 Summergames Beijing,China,Beijing,Shelly-Ann Fraser,Jamaica,NULL,Woman,Athletics,100 metres,Gold
2008,2008 Summergames Beijing,China,Beijing,Shirvani Muradov,Russia,NULL,Man,Wrestling,84-96 kg freestyle,Gold
2008,2008 Summergames Beijing,China,Beijing,Somjit Jongjohor,Thailand,NULL,Man,Boxing,Flyweight,Gold
2008,2008 Summergames Beijing,China,Beijing,Son Tae-Jin,South Korea,NULL,Man,Taekwondo,58-68 kg,Gold
2008,2008 Summergames Beijing,China,Beijing,Steeve Guenot,France,NULL,Man,Wrestling,60-66 kg greco-roman,Gold
2008,2008 Summergames Beijing,China,Beijing,Stephanie Brown Trafton,United States,NULL,Woman,Athletics,Discus throw,Gold
2008,2008 Summergames Beijing,China,Beijing,Qiu Jian,China,NULL,Man,Shooting,"Small-bore rifle, 3 positions",Gold
2008,2008 Summergames Beijing,China,Beijing,Rafael Nadal,Spain,NULL,Man,Tennis,Singles,Gold
2008,2008 Summergames Beijing,China,Beijing,Rakhim Chakhkiev,Russia,NULL,Man,Boxing,Heavyweight,Gold
2008,2008 Summergames Beijing,China,Beijing,Ramazan Sahin,Turkey,NULL,Man,Wrestling,60-66 kg freestyle,Gold
2008,2008 Summergames Beijing,China,Beijing,Rebecca Romero,Great Britain,NULL,Woman,Cycling,Individual pursuit,Gold
2008,2008 Summergames Beijing,China,Beijing,Revaz Mindorashvili,Georgia,NULL,Man,Wrestling,74-84 kg freestyle,Gold
2008,2008 Summergames Beijing,China,Beijing,Roberto Cammarelle,Italy,NULL,Man,Boxing,Super heavyweight,Gold
2008,2008 Summergames Beijing,China,Beijing,Rumyana Neykova,Bulgaria,NULL,Woman,Rowing,Single sculls,Gold
2008,2008 Summergames Beijing,China,Beijing,Sa Jae-Hyouk,South Korea,NULL,Man,Weightlifting,77 kg,Gold
